az_lons,co_lons,nm_lons,ut_lons,az_lats,co_lats,nm_lats,ut_lats
-114.63332,-109.04984,-103.55583,-114.04392,34.87057,38.215,32.00032,40.68928
-114.63349,-109.06017,-104.00265,-114.04391,35.0018,38.4011,32,40.6898
-114.63423,-109.06015,-104.64165,-114.04375,35.0033,38.6092,32.0004,40.7602
-114.60899,-109.05655,-105.14679,-114.04195,35.0797,38.8139,32.0005,41.0554
-114.63064,-109.05305,-105.90075,-114.04061,35.1179,38.9578,32.0019,41.36
-114.57354,-109.05158,-106.55721,-114.04055,35.1423,39.1165,32.0007,41.5906
-114.58031,-109.05119,-106.63119,-114.0398,35.2181,39.226,31.9898,41.8942
-114.61121,-109.05077,-106.62216,-114.04172,35.3701,39.3642,31.936,41.9937
-114.6768,-109.05132,-106.63325,-114.0391,35.4912,39.5675,31.9099,41.9936
-114.66076,-109.05077,-106.61103,-113.80254,35.5417,39.7987,31.8466,41.9889
-114.65449,-109.05087,-106.54568,-113.64886,35.6051,40.0378,31.8054,41.991
-114.68702,-109.05088,-106.52834,-113.49562,35.6694,40.1884,31.7831,41.9933
-114.69704,-109.05093,-106.52861,-113.36362,35.7357,40.2929,31.7832,41.9938
-114.70415,-109.05088,-106.53181,-113.20505,35.8141,40.4149,31.7839,41.9964
-114.67489,-109.05051,-106.55963,-113.10627,35.8643,40.5061,31.7839,41.9973
-114.70883,-109.04899,-106.56993,-112.96233,35.9167,40.6844,31.7839,41.9984
-114.74365,-109.04907,-106.60042,-112.83266,35.9854,40.8729,31.7839,41.9993
-114.73513,-109.05008,-106.61408,-112.78175,36.0549,41.0006,31.784,41.9997
-114.6729,-109.03134,-106.62967,-112.68558,36.1154,41.0005,31.784,42.0002
-114.51122,-108.83854,-106.67613,-112.58229,36.1505,41.0001,31.7839,42.0005
-114.32346,-108.6996,-106.68194,-112.45023,36.1011,41.0001,31.7839,42.0009
-114.22646,-108.59802,-106.7505,-112.26534,36.0146,40.9999,31.7837,42.0011
